2456397,3578,3524,3833,1343,2502,4
2456413,808,898,1408,220,2696,4
2456429,7945,8147,8537,5463,2649,4
2456445,156,164,758,807,2809,0
2456461,564,467,1680,1465,2866,0
2456477,299,245,1308,1108,2950,0
2456493,297,231,1377,1085,2965,0
2456509,2171,2242,3050,1385,2683,4
2456525,220,180,1014,809,2886,0
2456541,4605,4570,4892,2174,2349,4
2456557,85,65,410,208,2800,2
2456573,121,106,610,417,2774,0
2456589,81,64,229,170,2800,1
2456605,415,268,294,56,2678,2
2456621,-21,-56,82,-3,2680,2
2456637,1315,1141,1282,548,2586,3
2456653,3243,3174,3502,2126,2405,4
2456669,1119,966,1051,220,2648,2
2456685,5601,5511,5684,3345,2368,4
2456701,770,593,690,85,2686,1
2456717,519,368,598,196,2674,0
2456733,4820,4745,5148,1806,2435,4
2456749,385,619,1539,162,2650,4
2456765,2555,2527,3130,1646,2619,4
2456781,1044,1222,1752,213,2769,3
2456797,3814,3835,4357,3774,2648,4
2456813,363,335,1248,1124,2885,0
2456829,1911,1824,2874,1580,2603,4
2456845,354,240,2126,1449,2915,0
2456861,6396,6402,6540,1453,2425,4
2456877,254,190,1353,937,2945,0
2456893,6326,6503,7213,5206,2664,4
2456909,668,613,1576,1169,2752,4
2456925,7639,7651,7735,3550,2484,4
2456941,189,178,529,320,2822,0
2456957,3146,3095,3675,2609,2584,4
2456973,1818,1751,2211,1988,2541,4
2456989,422,237,189,9,2721,2
2457005,251,115,117,6,2673,1
2457021,3872,3875,4894,3526,2524,4
2455973,-157,-150,387,173,2682,0
2456037,1746,1662,2330,734,2669,4
2456117,338,289,1244,1068,2974,0
2456133,3912,4029,4880,4258,2753,4
2456149,1054,1081,1966,1138,2734,4
2456165,187,194,993,732,2863,0
2456197,1048,1108,1899,1190,2702,4
2456325,31,-172,506,163,2676,0
2456341,4764,4837,5803,3112,2554,4
2456421,733,798,1270,703,2885,0
2456501,262,226,1197,981,2933,0
2456517,2334,2402,3325,3099,2783,4
2456549,200,174,815,527,2933,0
2456629,5390,5472,5889,2045,2421,4
2456645,458,221,422,46,2676,0
2456661,1633,1667,2534,1508,2577,4
2456677,1808,1861,2471,1243,2621,4
2456709,4464,4479,5054,1984,2614,4
2456741,3342,3321,4144,2145,2570,4
2456789,4061,4197,5022,4303,2614,4
2456837,2479,2390,3508,2974,2721,4
2456853,911,827,2113,1226,2847,4
2456869,977,971,2378,1793,2917,4
2456917,415,372,1271,916,2891,0
2456933,158,127,560,314,2765,0
2456981,898,881,1332,855,2628,4
